[A] device=cuda seed=42 params=411,324 train=720 val=80
[A] epoch 1/150 loss=1.42762 center=2.5848 sparse=6.7420 val_score=2.10583 best=2.10583 centroid=0.583 falseS=0.991 recall=2.700 precision=0.008 bad=0 lr=7.20e-05 peak_mb=7356 elapsed=40.2s
[A] epoch 2/150 loss=-0.45837 center=1.1930 sparse=6.7174 val_score=1.82297 best=1.82297 centroid=1.000 falseS=0.989 recall=3.640 precision=0.009 bad=0 lr=1.44e-04 peak_mb=7356 elapsed=78.7s
[A] epoch 3/150 loss=-0.80506 center=1.0715 sparse=6.6401 val_score=1.52942 best=1.52942 centroid=1.000 falseS=0.989 recall=2.974 precision=0.009 bad=0 lr=2.00e-04 peak_mb=7356 elapsed=116.9s
[A] epoch 4/150 loss=-1.13662 center=0.9886 sparse=6.5460 val_score=1.73069 best=1.52942 centroid=1.000 falseS=0.984 recall=4.110 precision=0.012 bad=1 lr=2.00e-04 peak_mb=7356 elapsed=154.6s
[A] epoch 5/150 loss=-1.43734 center=0.9042 sparse=6.4338 val_score=1.58895 best=1.52942 centroid=1.000 falseS=0.988 recall=3.157 precision=0.011 bad=2 lr=2.00e-04 peak_mb=7356 elapsed=192.4s
[A] epoch 6/150 loss=-1.62327 center=0.8778 sparse=6.3368 val_score=1.51580 best=1.51580 centroid=1.000 falseS=0.983 recall=4.378 precision=0.014 bad=0 lr=2.00e-04 peak_mb=7356 elapsed=230.4s
[A] epoch 7/150 loss=-1.71202 center=0.8475 sparse=6.2442 val_score=1.47868 best=1.47868 centroid=1.000 falseS=0.985 recall=3.416 precision=0.013 bad=0 lr=2.00e-04 peak_mb=7356 elapsed=268.7s
[A] epoch 8/150 loss=-1.77149 center=0.8448 sparse=6.1626 val_score=1.46163 best=1.46163 centroid=1.000 falseS=0.983 recall=3.505 precision=0.015 bad=0 lr=1.99e-04 peak_mb=7356 elapsed=307.3s
[A] epoch 9/150 loss=-1.85089 center=0.8133 sparse=6.0982 val_score=1.47637 best=1.46163 centroid=1.000 falseS=0.980 recall=3.975 precision=0.017 bad=1 lr=1.99e-04 peak_mb=7356 elapsed=345.6s
[A] epoch 10/150 loss=-1.98471 center=0.8266 sparse=6.0271 val_score=1.55190 best=1.46163 centroid=1.000 falseS=0.982 recall=3.791 precision=0.016 bad=2 lr=1.99e-04 peak_mb=7356 elapsed=384.3s
[A] epoch 11/150 loss=-2.02372 center=0.8058 sparse=5.9678 val_score=1.53671 best=1.46163 centroid=1.000 falseS=0.978 recall=3.930 precision=0.018 bad=3 lr=1.98e-04 peak_mb=7356 elapsed=422.7s
[A] epoch 12/150 loss=-2.10152 center=0.8083 sparse=5.8841 val_score=1.45775 best=1.45775 centroid=1.000 falseS=0.983 recall=2.917 precision=0.016 bad=0 lr=1.98e-04 peak_mb=7356 elapsed=461.2s
[A] epoch 13/150 loss=-2.05857 center=0.7897 sparse=5.8347 val_score=1.56699 best=1.45775 centroid=1.000 falseS=0.976 recall=4.359 precision=0.021 bad=1 lr=1.98e-04 peak_mb=7356 elapsed=498.7s
[A] epoch 14/150 loss=-2.14711 center=0.8094 sparse=5.7605 val_score=1.46611 best=1.45775 centroid=1.000 falseS=0.973 recall=3.910 precision=0.022 bad=2 lr=1.97e-04 peak_mb=7356 elapsed=536.4s
[A] epoch 15/150 loss=-2.23759 center=0.8100 sparse=5.7263 val_score=1.42292 best=1.42292 centroid=1.000 falseS=0.969 recall=4.290 precision=0.023 bad=0 lr=1.97e-04 peak_mb=7356 elapsed=573.8s
[A] epoch 16/150 loss=-2.29915 center=0.8140 sparse=5.6650 val_score=1.45275 best=1.42292 centroid=1.000 falseS=0.972 recall=4.163 precision=0.024 bad=1 lr=1.96e-04 peak_mb=7356 elapsed=611.9s
[A] epoch 17/150 loss=-2.20458 center=0.7896 sparse=5.6470 val_score=1.41418 best=1.41418 centroid=1.000 falseS=0.974 recall=3.920 precision=0.023 bad=0 lr=1.95e-04 peak_mb=7356 elapsed=650.5s
[A] epoch 18/150 loss=-2.36028 center=0.8134 sparse=5.6016 val_score=1.41683 best=1.41418 centroid=1.000 falseS=0.965 recall=4.151 precision=0.031 bad=1 lr=1.95e-04 peak_mb=7356 elapsed=689.0s
[A] epoch 19/150 loss=-2.37052 center=0.7836 sparse=5.5483 val_score=1.44816 best=1.41418 centroid=1.000 falseS=0.978 recall=3.009 precision=0.022 bad=2 lr=1.94e-04 peak_mb=7356 elapsed=727.2s
[A] epoch 20/150 loss=-2.40876 center=0.7640 sparse=5.5019 val_score=1.44061 best=1.41418 centroid=1.000 falseS=0.964 recall=4.028 precision=0.031 bad=3 lr=1.93e-04 peak_mb=7356 elapsed=765.7s
[A] epoch 21/150 loss=-2.38013 center=0.7612 sparse=5.4692 val_score=1.42724 best=1.41418 centroid=1.000 falseS=0.965 recall=4.069 precision=0.030 bad=4 lr=1.93e-04 peak_mb=7356 elapsed=803.9s
[A] epoch 22/150 loss=-2.49106 center=0.7781 sparse=5.4211 val_score=1.47381 best=1.41418 centroid=1.000 falseS=0.974 recall=3.191 precision=0.023 bad=5 lr=1.92e-04 peak_mb=7356 elapsed=842.6s
[A] epoch 23/150 loss=-2.47781 center=0.7728 sparse=5.3891 val_score=1.47521 best=1.41418 centroid=1.000 falseS=0.965 recall=3.831 precision=0.032 bad=6 lr=1.91e-04 peak_mb=7356 elapsed=881.0s
[A] epoch 24/150 loss=-2.43753 center=0.7676 sparse=5.3669 val_score=1.42413 best=1.41418 centroid=1.000 falseS=0.959 recall=4.174 precision=0.037 bad=7 lr=1.90e-04 peak_mb=7356 elapsed=920.1s
[A] epoch 25/150 loss=-2.57947 center=0.7441 sparse=5.3018 val_score=1.49120 best=1.41418 centroid=1.000 falseS=0.965 recall=3.611 precision=0.030 bad=8 lr=1.89e-04 peak_mb=7356 elapsed=958.8s
[A] epoch 26/150 loss=-2.49316 center=0.7600 sparse=5.2738 val_score=1.40505 best=1.40505 centroid=1.000 falseS=0.961 recall=3.752 precision=0.036 bad=0 lr=1.88e-04 peak_mb=7356 elapsed=996.7s
[A] epoch 27/150 loss=-2.61899 center=0.7352 sparse=5.2094 val_score=1.47040 best=1.40505 centroid=1.000 falseS=0.964 recall=3.607 precision=0.035 bad=1 lr=1.87e-04 peak_mb=7356 elapsed=1034.1s
[A] epoch 28/150 loss=-2.54452 center=0.7526 sparse=5.2421 val_score=1.36998 best=1.36998 centroid=1.000 falseS=0.971 recall=2.915 precision=0.029 bad=0 lr=1.86e-04 peak_mb=7356 elapsed=1071.7s
[A] epoch 29/150 loss=-2.55630 center=0.7268 sparse=5.2003 val_score=1.48316 best=1.36998 centroid=1.000 falseS=0.956 recall=4.317 precision=0.040 bad=1 lr=1.85e-04 peak_mb=7356 elapsed=1110.0s
[A] epoch 30/150 loss=-2.60229 center=0.7206 sparse=5.1890 val_score=1.42943 best=1.36998 centroid=1.000 falseS=0.954 recall=4.415 precision=0.044 bad=2 lr=1.84e-04 peak_mb=7356 elapsed=1148.6s
[A] epoch 31/150 loss=-2.72635 center=0.7185 sparse=5.1454 val_score=1.37045 best=1.36998 centroid=1.000 falseS=0.966 recall=3.257 precision=0.035 bad=3 lr=1.82e-04 peak_mb=7356 elapsed=1187.7s
[A] epoch 32/150 loss=-2.65787 center=0.7098 sparse=5.0825 val_score=1.40001 best=1.36998 centroid=1.000 falseS=0.959 recall=3.559 precision=0.039 bad=4 lr=1.81e-04 peak_mb=7356 elapsed=1226.5s
[A] epoch 33/150 loss=-2.63953 center=0.7321 sparse=5.0575 val_score=1.38413 best=1.36998 centroid=1.000 falseS=0.958 recall=3.659 precision=0.043 bad=5 lr=1.80e-04 peak_mb=7356 elapsed=1265.3s
[A] epoch 34/150 loss=-2.66290 center=0.6873 sparse=5.0327 val_score=1.44983 best=1.36998 centroid=1.000 falseS=0.950 recall=4.083 precision=0.051 bad=6 lr=1.79e-04 peak_mb=7356 elapsed=1302.6s
[A] epoch 35/150 loss=-2.74737 center=0.7220 sparse=4.9658 val_score=1.46769 best=1.36998 centroid=1.000 falseS=0.945 recall=4.285 precision=0.054 bad=7 lr=1.77e-04 peak_mb=7356 elapsed=1340.1s
[A] epoch 36/150 loss=-2.70419 center=0.6918 sparse=4.9220 val_score=1.39442 best=1.36998 centroid=1.000 falseS=0.954 recall=3.283 precision=0.046 bad=8 lr=1.76e-04 peak_mb=7356 elapsed=1377.6s
[A] epoch 37/150 loss=-2.76777 center=0.7045 sparse=4.8875 val_score=1.35098 best=1.35098 centroid=1.000 falseS=0.952 recall=3.503 precision=0.052 bad=0 lr=1.75e-04 peak_mb=7356 elapsed=1415.3s
[A] epoch 38/150 loss=-2.71728 center=0.7061 sparse=4.8852 val_score=1.50213 best=1.35098 centroid=1.000 falseS=0.952 recall=4.013 precision=0.045 bad=1 lr=1.73e-04 peak_mb=7356 elapsed=1452.9s
[A] epoch 39/150 loss=-2.79221 center=0.6825 sparse=4.8710 val_score=1.33732 best=1.33732 centroid=1.000 falseS=0.953 recall=3.098 precision=0.045 bad=0 lr=1.72e-04 peak_mb=7356 elapsed=1491.5s
[A] epoch 40/150 loss=-2.79289 center=0.7101 sparse=4.7875 val_score=1.42839 best=1.33732 centroid=1.000 falseS=0.930 recall=4.230 precision=0.064 bad=1 lr=1.70e-04 peak_mb=7356 elapsed=1529.7s
[A] epoch 41/150 loss=-2.78703 center=0.6716 sparse=4.7738 val_score=1.38961 best=1.33732 centroid=1.000 falseS=0.951 recall=3.398 precision=0.050 bad=2 lr=1.69e-04 peak_mb=7356 elapsed=1567.1s
[A] epoch 42/150 loss=-2.79858 center=0.6865 sparse=4.7331 val_score=1.34749 best=1.33732 centroid=1.000 falseS=0.944 recall=3.435 precision=0.056 bad=3 lr=1.67e-04 peak_mb=7356 elapsed=1604.7s
[A] epoch 43/150 loss=-2.86888 center=0.7033 sparse=4.7067 val_score=1.33397 best=1.33397 centroid=1.000 falseS=0.945 recall=3.551 precision=0.054 bad=0 lr=1.65e-04 peak_mb=7356 elapsed=1642.8s
[A] epoch 44/150 loss=-2.80878 center=0.6769 sparse=4.6739 val_score=1.44509 best=1.33397 centroid=1.000 falseS=0.937 recall=3.764 precision=0.063 bad=1 lr=1.64e-04 peak_mb=7356 elapsed=1681.7s
[A] epoch 45/150 loss=-2.78619 center=0.6697 sparse=4.6635 val_score=1.40807 best=1.33397 centroid=1.000 falseS=0.932 recall=3.936 precision=0.071 bad=2 lr=1.62e-04 peak_mb=7356 elapsed=1720.3s
[A] epoch 46/150 loss=-2.98523 center=0.6608 sparse=4.5943 val_score=1.32256 best=1.32256 centroid=1.000 falseS=0.937 recall=3.312 precision=0.067 bad=0 lr=1.60e-04 peak_mb=7356 elapsed=1757.7s
[A] epoch 47/150 loss=-2.90303 center=0.6761 sparse=4.5524 val_score=1.34968 best=1.32256 centroid=1.000 falseS=0.921 recall=4.192 precision=0.080 bad=1 lr=1.59e-04 peak_mb=7356 elapsed=1795.4s
[A] epoch 48/150 loss=-2.90384 center=0.6726 sparse=4.5373 val_score=1.41654 best=1.32256 centroid=1.000 falseS=0.914 recall=4.058 precision=0.085 bad=2 lr=1.57e-04 peak_mb=7356 elapsed=1834.2s
[A] epoch 49/150 loss=-2.81243 center=0.6711 sparse=4.5478 val_score=1.40174 best=1.32256 centroid=1.000 falseS=0.934 recall=3.548 precision=0.070 bad=3 lr=1.55e-04 peak_mb=7356 elapsed=1872.1s
[A] epoch 50/150 loss=-3.03892 center=0.6395 sparse=4.5062 val_score=1.38192 best=1.32256 centroid=1.000 falseS=0.918 recall=3.993 precision=0.083 bad=4 lr=1.53e-04 peak_mb=7356 elapsed=1910.6s
[A] epoch 51/150 loss=-3.04242 center=0.6581 sparse=4.4839 val_score=1.38480 best=1.32256 centroid=1.000 falseS=0.893 recall=4.885 precision=0.100 bad=5 lr=1.52e-04 peak_mb=7356 elapsed=1948.3s
[A] epoch 52/150 loss=-3.01899 center=0.6242 sparse=4.4075 val_score=1.40632 best=1.32256 centroid=1.000 falseS=0.923 recall=3.530 precision=0.075 bad=6 lr=1.50e-04 peak_mb=7356 elapsed=1986.4s
[A] epoch 53/150 loss=-3.02080 center=0.6414 sparse=4.3836 val_score=1.33123 best=1.32256 centroid=1.000 falseS=0.898 recall=4.193 precision=0.105 bad=7 lr=1.48e-04 peak_mb=7356 elapsed=2025.3s
[A] epoch 54/150 loss=-2.99591 center=0.6592 sparse=4.3848 val_score=1.30582 best=1.30582 centroid=1.000 falseS=0.911 recall=3.819 precision=0.093 bad=0 lr=1.46e-04 peak_mb=7356 elapsed=2062.9s
[A] epoch 55/150 loss=-3.07118 center=0.6429 sparse=4.3503 val_score=1.33947 best=1.30582 centroid=1.000 falseS=0.916 recall=3.329 precision=0.083 bad=1 lr=1.44e-04 peak_mb=7356 elapsed=2100.2s
[A] epoch 56/150 loss=-3.10259 center=0.6375 sparse=4.3312 val_score=1.34475 best=1.30582 centroid=1.000 falseS=0.913 recall=3.411 precision=0.085 bad=2 lr=1.42e-04 peak_mb=7356 elapsed=2138.3s
[A] epoch 57/150 loss=-3.03375 center=0.6364 sparse=4.2740 val_score=1.42983 best=1.30582 centroid=1.000 falseS=0.902 recall=4.264 precision=0.098 bad=3 lr=1.40e-04 peak_mb=7356 elapsed=2175.3s
[A] epoch 58/150 loss=-3.06835 center=0.6350 sparse=4.2926 val_score=1.26958 best=1.26958 centroid=1.000 falseS=0.915 recall=3.251 precision=0.088 bad=0 lr=1.38e-04 peak_mb=7356 elapsed=2213.1s
[A] epoch 59/150 loss=-3.06798 center=0.6297 sparse=4.2705 val_score=1.30756 best=1.26958 centroid=1.000 falseS=0.907 recall=3.423 precision=0.095 bad=1 lr=1.36e-04 peak_mb=7356 elapsed=2251.5s
[A] epoch 60/150 loss=-3.18075 center=0.6343 sparse=4.2284 val_score=1.36226 best=1.26958 centroid=1.000 falseS=0.893 recall=4.002 precision=0.105 bad=2 lr=1.34e-04 peak_mb=7356 elapsed=2289.8s
[A] epoch 61/150 loss=-2.98708 center=0.6254 sparse=4.2054 val_score=1.32469 best=1.26958 centroid=1.000 falseS=0.898 recall=3.846 precision=0.109 bad=3 lr=1.32e-04 peak_mb=7356 elapsed=2327.9s
[A] epoch 62/150 loss=-3.15079 center=0.6312 sparse=4.1679 val_score=1.31662 best=1.26958 centroid=1.000 falseS=0.917 recall=3.030 precision=0.085 bad=4 lr=1.30e-04 peak_mb=7356 elapsed=2365.9s
[A] epoch 63/150 loss=-3.11740 center=0.6290 sparse=4.1731 val_score=1.27173 best=1.26958 centroid=1.000 falseS=0.895 recall=3.178 precision=0.108 bad=5 lr=1.28e-04 peak_mb=7356 elapsed=2404.4s
[A] epoch 64/150 loss=-3.13426 center=0.5961 sparse=4.1306 val_score=1.28693 best=1.26958 centroid=1.000 falseS=0.896 recall=3.509 precision=0.106 bad=6 lr=1.26e-04 peak_mb=7356 elapsed=2441.8s
[A] epoch 65/150 loss=-3.15355 center=0.5970 sparse=4.0873 val_score=1.28037 best=1.26958 centroid=1.000 falseS=0.900 recall=3.097 precision=0.102 bad=7 lr=1.24e-04 peak_mb=7356 elapsed=2479.6s
[A] epoch 66/150 loss=-3.17709 center=0.5975 sparse=4.0559 val_score=1.25543 best=1.25543 centroid=1.000 falseS=0.883 recall=3.363 precision=0.124 bad=0 lr=1.22e-04 peak_mb=7356 elapsed=2517.9s
[A] epoch 67/150 loss=-3.16069 center=0.6269 sparse=4.0978 val_score=1.30097 best=1.25543 centroid=1.000 falseS=0.874 recall=4.131 precision=0.124 bad=1 lr=1.20e-04 peak_mb=7356 elapsed=2556.1s
[A] epoch 68/150 loss=-3.25372 center=0.6068 sparse=4.0264 val_score=1.23304 best=1.23304 centroid=1.000 falseS=0.890 recall=3.146 precision=0.119 bad=0 lr=1.18e-04 peak_mb=7356 elapsed=2593.7s
[A] epoch 69/150 loss=-3.23981 center=0.6044 sparse=4.0033 val_score=1.28769 best=1.23304 centroid=1.000 falseS=0.869 recall=3.829 precision=0.132 bad=1 lr=1.16e-04 peak_mb=7356 elapsed=2632.0s
[A] epoch 70/150 loss=-3.23541 center=0.6087 sparse=3.9825 val_score=1.25688 best=1.23304 centroid=1.000 falseS=0.860 recall=3.693 precision=0.139 bad=2 lr=1.14e-04 peak_mb=7356 elapsed=2669.9s
[A] epoch 71/150 loss=-3.22837 center=0.5900 sparse=3.9613 val_score=1.26690 best=1.23304 centroid=1.000 falseS=0.875 recall=3.790 precision=0.133 bad=3 lr=1.11e-04 peak_mb=7356 elapsed=2708.3s
[A] epoch 72/150 loss=-3.27278 center=0.6105 sparse=3.9261 val_score=1.31888 best=1.23304 centroid=1.000 falseS=0.857 recall=3.916 precision=0.144 bad=4 lr=1.09e-04 peak_mb=7356 elapsed=2747.0s
[A] epoch 73/150 loss=-3.32168 center=0.5859 sparse=3.8995 val_score=1.25555 best=1.23304 centroid=1.000 falseS=0.868 recall=3.638 precision=0.139 bad=5 lr=1.07e-04 peak_mb=7356 elapsed=2785.0s
[A] epoch 74/150 loss=-3.31630 center=0.5907 sparse=3.8925 val_score=1.23590 best=1.23304 centroid=1.000 falseS=0.865 recall=3.275 precision=0.134 bad=6 lr=1.05e-04 peak_mb=7356 elapsed=2822.6s
[A] epoch 75/150 loss=-3.34579 center=0.5915 sparse=3.8110 val_score=1.31594 best=1.23304 centroid=1.000 falseS=0.844 recall=4.274 precision=0.158 bad=7 lr=1.03e-04 peak_mb=7356 elapsed=2861.6s
[A] epoch 76/150 loss=-3.30327 center=0.5934 sparse=3.8241 val_score=1.21960 best=1.21960 centroid=1.000 falseS=0.805 recall=4.378 precision=0.185 bad=0 lr=1.01e-04 peak_mb=7356 elapsed=2899.4s
[A] epoch 77/150 loss=-3.32485 center=0.6071 sparse=3.7924 val_score=1.28342 best=1.21960 centroid=1.000 falseS=0.828 recall=4.138 precision=0.173 bad=1 lr=9.87e-05 peak_mb=7356 elapsed=2937.6s
[A] epoch 78/150 loss=-3.37823 center=0.5752 sparse=3.8247 val_score=1.24834 best=1.21960 centroid=1.000 falseS=0.862 recall=3.473 precision=0.147 bad=2 lr=9.66e-05 peak_mb=7356 elapsed=2975.6s
[A] epoch 79/150 loss=-3.40562 center=0.5710 sparse=3.7820 val_score=1.24655 best=1.21960 centroid=1.000 falseS=0.846 recall=3.660 precision=0.158 bad=3 lr=9.44e-05 peak_mb=7356 elapsed=3013.6s
[A] epoch 80/150 loss=-3.36401 center=0.5856 sparse=3.7577 val_score=1.21906 best=1.21906 centroid=1.000 falseS=0.850 recall=3.009 precision=0.159 bad=0 lr=9.23e-05 peak_mb=7356 elapsed=3051.1s
