[A] device=cuda seed=42 params=411,357 train=720 val=80
/root/autodl-tmp/test_model/irstd_a/model.py:137: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  F.conv2d(
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[A] epoch 1/150 loss=6.22281 presence=5.1297 amplitude=0.5991 sparse=6.0316 val_score=1.84366 best=1.84366 centroid=0.500 falseS=0.996 massX=319.657 outsideT=336.756 recall=0.933 precision=0.005 bad=0 lr=7.20e-05 peak_mb=7354 elapsed=42.1s
[A] epoch 2/150 loss=3.73344 presence=2.3069 amplitude=0.9866 sparse=5.9463 val_score=1.51250 best=1.51250 centroid=1.000 falseS=0.993 massX=276.890 outsideT=287.754 recall=1.654 precision=0.007 bad=0 lr=1.44e-04 peak_mb=7354 elapsed=82.4s
[A] epoch 3/150 loss=2.95399 presence=1.4358 amplitude=1.2372 sparse=5.6123 val_score=1.45445 best=1.45445 centroid=1.000 falseS=0.988 massX=164.434 outsideT=160.671 recall=1.688 precision=0.013 bad=0 lr=2.00e-04 peak_mb=7354 elapsed=122.9s
[A] epoch 4/150 loss=1.86076 presence=1.0494 amplitude=1.1866 sparse=4.7142 val_score=1.34779 best=1.34779 centroid=1.000 falseS=0.962 massX=43.404 outsideT=41.776 recall=1.334 precision=0.036 bad=0 lr=2.00e-04 peak_mb=7354 elapsed=164.0s
[A] epoch 5/150 loss=0.83088 presence=0.9979 amplitude=1.1687 sparse=3.2470 val_score=1.24196 best=1.24196 centroid=1.000 falseS=0.791 massX=7.485 outsideT=6.137 recall=1.279 precision=0.193 bad=0 lr=2.00e-04 peak_mb=7354 elapsed=205.0s
[A] epoch 6/150 loss=0.10166 presence=0.9940 amplitude=1.1580 sparse=2.1182 val_score=1.05101 best=1.05101 centroid=1.000 falseS=0.631 massX=3.229 outsideT=1.789 recall=0.852 precision=0.346 bad=0 lr=2.00e-04 peak_mb=7354 elapsed=246.2s
[A] epoch 7/150 loss=-0.37481 presence=0.8534 amplitude=1.1978 sparse=1.6291 val_score=0.76769 best=0.76769 centroid=1.000 falseS=0.384 massX=2.044 outsideT=0.682 recall=1.130 precision=0.601 bad=0 lr=2.00e-04 peak_mb=7354 elapsed=285.1s
[A] epoch 8/150 loss=-0.64261 presence=0.8070 amplitude=1.2606 sparse=1.3913 val_score=0.40511 best=0.40511 centroid=1.000 falseS=0.166 massX=1.844 outsideT=0.287 recall=1.156 precision=0.811 bad=0 lr=1.99e-04 peak_mb=7354 elapsed=324.8s
[A] epoch 9/150 loss=-0.83114 presence=0.6847 amplitude=1.3158 sparse=1.2683 val_score=0.46639 best=0.40511 centroid=1.000 falseS=0.142 massX=1.825 outsideT=0.216 recall=1.106 precision=0.837 bad=1 lr=1.99e-04 peak_mb=7354 elapsed=365.8s
[A] epoch 10/150 loss=-1.07290 presence=0.6936 amplitude=1.2083 sparse=1.1905 val_score=0.50533 best=0.40511 centroid=1.000 falseS=0.132 massX=2.840 outsideT=0.378 recall=1.701 precision=0.857 bad=2 lr=1.99e-04 peak_mb=7354 elapsed=406.8s
[A] epoch 11/150 loss=-1.25105 presence=0.5810 amplitude=1.2730 sparse=1.1567 val_score=0.42067 best=0.40511 centroid=1.000 falseS=0.120 massX=1.722 outsideT=0.153 recall=1.150 precision=0.869 bad=3 lr=1.98e-04 peak_mb=7354 elapsed=447.2s
[A] epoch 12/150 loss=-1.38762 presence=0.5364 amplitude=1.2462 sparse=1.1051 val_score=0.48292 best=0.40511 centroid=1.000 falseS=0.107 massX=1.397 outsideT=0.137 recall=0.837 precision=0.879 bad=4 lr=1.98e-04 peak_mb=7354 elapsed=487.7s
[A] epoch 13/150 loss=-1.48159 presence=0.5028 amplitude=1.2339 sparse=1.0686 val_score=0.38066 best=0.38066 centroid=1.000 falseS=0.163 massX=1.746 outsideT=0.206 recall=1.002 precision=0.829 bad=0 lr=1.98e-04 peak_mb=7354 elapsed=528.3s
[A] epoch 14/150 loss=-1.47407 presence=0.4926 amplitude=1.2572 sparse=1.0778 val_score=0.31126 best=0.31126 centroid=1.000 falseS=0.069 massX=1.888 outsideT=0.119 recall=1.287 precision=0.929 bad=0 lr=1.97e-04 peak_mb=7354 elapsed=568.8s
[A] epoch 15/150 loss=-1.53782 presence=0.4394 amplitude=1.2707 sparse=1.0547 val_score=0.33934 best=0.31126 centroid=1.000 falseS=0.046 massX=1.457 outsideT=0.062 recall=1.088 precision=0.946 bad=1 lr=1.97e-04 peak_mb=7354 elapsed=609.0s
[A] epoch 16/150 loss=-1.58016 presence=0.4343 amplitude=1.2026 sparse=1.0032 val_score=0.39274 best=0.31126 centroid=1.000 falseS=0.060 massX=1.482 outsideT=0.084 recall=1.173 precision=0.933 bad=2 lr=1.96e-04 peak_mb=7354 elapsed=649.0s
[A] epoch 17/150 loss=-1.58617 presence=0.4519 amplitude=1.2395 sparse=1.0373 val_score=0.31384 best=0.31126 centroid=1.000 falseS=0.087 massX=1.423 outsideT=0.125 recall=1.141 precision=0.905 bad=3 lr=1.95e-04 peak_mb=7354 elapsed=689.3s
[A] epoch 18/150 loss=-1.64246 presence=0.4325 amplitude=1.2160 sparse=1.0296 val_score=0.29225 best=0.29225 centroid=1.000 falseS=0.039 massX=1.325 outsideT=0.052 recall=1.025 precision=0.955 bad=0 lr=1.95e-04 peak_mb=7354 elapsed=729.9s
[A] epoch 19/150 loss=-1.67735 presence=0.3752 amplitude=1.2422 sparse=1.0418 val_score=0.35011 best=0.29225 centroid=1.000 falseS=0.016 massX=1.262 outsideT=0.021 recall=1.046 precision=0.983 bad=1 lr=1.94e-04 peak_mb=7354 elapsed=770.1s
[A] epoch 20/150 loss=-1.59812 presence=0.3815 amplitude=1.2396 sparse=1.0086 val_score=0.35834 best=0.29225 centroid=1.000 falseS=0.036 massX=1.286 outsideT=0.042 recall=1.078 precision=0.963 bad=2 lr=1.93e-04 peak_mb=7354 elapsed=810.2s
[A] epoch 21/150 loss=-1.74502 presence=0.3263 amplitude=1.2067 sparse=0.9960 val_score=0.29177 best=0.29177 centroid=1.000 falseS=0.013 massX=1.035 outsideT=0.013 recall=0.897 precision=0.986 bad=0 lr=1.93e-04 peak_mb=7354 elapsed=850.8s
