[A] device=cuda seed=42 params=411,357 train=720 val=80
/root/autodl-tmp/test_model/irstd_a/model.py:137: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  F.conv2d(
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[A] epoch 1/150 loss=6.17574 presence=5.1294 amplitude=0.5990 sparse=6.0316 val_score=1.84689 best=1.84689 centroid=0.500 falseS=0.996 massX=319.603 outsideT=336.790 recall=0.920 precision=0.005 bad=0 lr=7.20e-05 peak_mb=7362 elapsed=40.3s
[A] epoch 2/150 loss=3.70518 presence=2.2477 amplitude=1.0003 sparse=5.9480 val_score=1.68078 best=1.68078 centroid=1.000 falseS=0.993 massX=283.062 outsideT=285.412 recall=1.715 precision=0.008 bad=0 lr=1.44e-04 peak_mb=7362 elapsed=77.8s
[A] epoch 3/150 loss=2.91778 presence=1.4109 amplitude=1.2497 sparse=5.6233 val_score=1.50533 best=1.50533 centroid=1.000 falseS=0.989 massX=163.017 outsideT=159.345 recall=1.495 precision=0.012 bad=0 lr=2.00e-04 peak_mb=7362 elapsed=115.9s
[A] epoch 4/150 loss=1.86861 presence=1.0239 amplitude=1.2173 sparse=4.6773 val_score=1.27644 best=1.27644 centroid=1.000 falseS=0.965 massX=39.826 outsideT=39.371 recall=1.185 precision=0.032 bad=0 lr=2.00e-04 peak_mb=7362 elapsed=154.5s
[A] epoch 5/150 loss=0.84043 presence=0.9350 amplitude=1.2117 sparse=3.2486 val_score=1.13950 best=1.13950 centroid=1.000 falseS=0.842 massX=7.831 outsideT=6.379 recall=0.876 precision=0.145 bad=0 lr=2.00e-04 peak_mb=7362 elapsed=192.6s
[A] epoch 6/150 loss=0.00430 presence=0.8988 amplitude=1.2010 sparse=2.1462 val_score=0.84003 best=0.84003 centroid=1.000 falseS=0.582 massX=3.572 outsideT=1.604 recall=1.140 precision=0.390 bad=0 lr=2.00e-04 peak_mb=7362 elapsed=231.1s
[A] epoch 7/150 loss=-0.41586 presence=0.8774 amplitude=1.1902 sparse=1.5850 val_score=0.60962 best=0.60962 centroid=1.000 falseS=0.436 massX=2.020 outsideT=0.696 recall=0.901 precision=0.544 bad=0 lr=2.00e-04 peak_mb=7362 elapsed=269.7s
[A] epoch 8/150 loss=-0.73116 presence=0.7964 amplitude=1.2131 sparse=1.3807 val_score=0.42586 best=0.42586 centroid=1.000 falseS=0.213 massX=1.317 outsideT=0.255 recall=0.803 precision=0.763 bad=0 lr=1.99e-04 peak_mb=7362 elapsed=308.6s
[A] epoch 9/150 loss=-0.95701 presence=0.7001 amplitude=1.2447 sparse=1.2633 val_score=0.32815 best=0.32815 centroid=1.000 falseS=0.170 massX=1.931 outsideT=0.258 recall=1.166 precision=0.820 bad=0 lr=1.99e-04 peak_mb=7362 elapsed=346.5s
[A] epoch 10/150 loss=-1.03171 presence=0.6762 amplitude=1.1997 sparse=1.1878 val_score=0.43055 best=0.32815 centroid=1.000 falseS=0.166 massX=2.409 outsideT=0.311 recall=1.424 precision=0.837 bad=1 lr=1.99e-04 peak_mb=7362 elapsed=384.8s
[A] epoch 11/150 loss=-1.17332 presence=0.5908 amplitude=1.2638 sparse=1.1698 val_score=0.43761 best=0.32815 centroid=1.000 falseS=0.105 massX=1.106 outsideT=0.091 recall=0.768 precision=0.881 bad=2 lr=1.98e-04 peak_mb=7362 elapsed=423.0s
