[A] device=cuda seed=42 params=411,357 train=720 val=80
[A] epoch 1/150 loss=18.44805 rec=4.0700 bg=0.0128 sp=9.7711 ctr=4.3488 psf=-0.1000 ind=0.0122 flip=0.0463 amp=0.2868 val_score=2.84080 best=2.84080 centroid=1.000 falseS=0.986 massX=324.876 outsideT=332.314 recall=3.195 precision=0.012 bad=0 lr=7.20e-05 peak_mb=13830 elapsed=55.5s
[A] epoch 2/150 loss=13.58405 rec=4.1812 bg=0.0169 sp=7.5847 ctr=1.4525 psf=-0.1000 ind=0.0105 flip=0.0455 amp=0.3928 val_score=2.40901 best=2.40901 centroid=1.000 falseS=0.983 massX=291.660 outsideT=286.337 recall=3.348 precision=0.014 bad=0 lr=1.44e-04 peak_mb=13830 elapsed=108.9s
[A] epoch 3/150 loss=12.04156 rec=3.7991 bg=0.0134 sp=7.0302 ctr=0.8367 psf=-0.1000 ind=0.0061 flip=0.0674 amp=0.3886 val_score=1.50470 best=1.50470 centroid=1.000 falseS=0.983 massX=132.447 outsideT=127.415 recall=2.098 precision=0.016 bad=0 lr=2.00e-04 peak_mb=13830 elapsed=163.2s
[A] epoch 4/150 loss=10.17189 rec=3.0963 bg=0.0080 sp=5.9140 ctr=0.7686 psf=-0.0999 ind=0.0018 flip=0.0925 amp=0.3906 val_score=1.72333 best=1.50470 centroid=1.000 falseS=0.917 massX=31.795 outsideT=28.936 recall=2.409 precision=0.079 bad=1 lr=2.00e-04 peak_mb=13830 elapsed=217.1s
[A] epoch 5/150 loss=7.92760 rec=2.2008 bg=0.0055 sp=4.5400 ctr=0.7848 psf=-0.0998 ind=0.0004 flip=0.1030 amp=0.3929 val_score=1.31687 best=1.31687 centroid=1.000 falseS=0.796 massX=5.803 outsideT=4.702 recall=1.084 precision=0.191 bad=0 lr=2.00e-04 peak_mb=13830 elapsed=270.5s
[A] epoch 6/150 loss=6.19657 rec=1.3707 bg=0.0052 sp=3.5692 ctr=0.8035 psf=-0.0997 ind=0.0001 flip=0.1311 amp=0.4165 val_score=1.04275 best=1.04275 centroid=1.000 falseS=0.573 massX=2.026 outsideT=1.110 recall=0.754 precision=0.401 bad=0 lr=2.00e-04 peak_mb=13830 elapsed=324.4s
[A] epoch 7/150 loss=5.22904 rec=0.9448 bg=0.0052 sp=3.0643 ctr=0.7292 psf=-0.0995 ind=0.0001 flip=0.1516 amp=0.4335 val_score=0.81528 best=0.81528 centroid=1.000 falseS=0.325 massX=1.638 outsideT=0.519 recall=0.876 precision=0.642 bad=0 lr=2.00e-04 peak_mb=13830 elapsed=378.5s
[A] epoch 8/150 loss=4.70828 rec=0.8026 bg=0.0057 sp=2.7826 ctr=0.5947 psf=-0.0994 ind=0.0001 flip=0.1705 amp=0.4515 val_score=1.04121 best=0.81528 centroid=1.000 falseS=0.188 massX=1.439 outsideT=0.362 recall=1.143 precision=0.760 bad=1 lr=1.99e-04 peak_mb=13830 elapsed=432.2s
[A] epoch 9/150 loss=4.50518 rec=0.7786 bg=0.0067 sp=2.7084 ctr=0.4773 psf=-0.0993 ind=0.0001 flip=0.1817 amp=0.4516 val_score=0.72127 best=0.72127 centroid=1.000 falseS=0.145 massX=1.690 outsideT=0.330 recall=1.185 precision=0.803 bad=0 lr=1.99e-04 peak_mb=13830 elapsed=486.0s
[A] epoch 10/150 loss=4.40466 rec=0.7862 bg=0.0070 sp=2.6421 ctr=0.4364 psf=-0.0991 ind=0.0001 flip=0.1891 amp=0.4428 val_score=1.29933 best=0.72127 centroid=1.000 falseS=0.173 massX=1.943 outsideT=0.385 recall=1.272 precision=0.773 bad=1 lr=1.99e-04 peak_mb=13830 elapsed=539.7s
[A] epoch 11/150 loss=4.35796 rec=0.7891 bg=0.0064 sp=2.6200 ctr=0.4001 psf=-0.0991 ind=0.0001 flip=0.2036 amp=0.4378 val_score=1.95914 best=0.72127 centroid=1.000 falseS=0.189 massX=1.415 outsideT=0.374 recall=0.889 precision=0.748 bad=2 lr=1.98e-04 peak_mb=13830 elapsed=593.8s
[A] epoch 12/150 loss=4.28536 rec=0.7457 bg=0.0055 sp=2.5724 ctr=0.4183 psf=-0.0990 ind=0.0001 flip=0.2143 amp=0.4280 val_score=1.85848 best=0.72127 centroid=1.000 falseS=0.180 massX=1.867 outsideT=0.480 recall=1.312 precision=0.765 bad=3 lr=1.98e-04 peak_mb=13830 elapsed=647.8s
[A] epoch 13/150 loss=4.15392 rec=0.7769 bg=0.0066 sp=2.4885 ctr=0.3491 psf=-0.0988 ind=0.0001 flip=0.2180 amp=0.4135 val_score=1.65804 best=0.72127 centroid=1.000 falseS=0.194 massX=1.321 outsideT=0.386 recall=0.876 precision=0.724 bad=4 lr=1.98e-04 peak_mb=13830 elapsed=701.3s
[A] epoch 14/150 loss=4.18474 rec=0.7822 bg=0.0076 sp=2.5310 ctr=0.3261 psf=-0.0987 ind=0.0001 flip=0.2142 amp=0.4222 val_score=1.46571 best=0.72127 centroid=1.000 falseS=0.169 massX=1.662 outsideT=0.417 recall=1.063 precision=0.759 bad=5 lr=1.97e-04 peak_mb=13830 elapsed=754.6s
[A] epoch 15/150 loss=4.29057 rec=0.8076 bg=0.0086 sp=2.5089 ctr=0.3877 psf=-0.0986 ind=0.0001 flip=0.2557 amp=0.4206 val_score=2.13423 best=0.72127 centroid=1.000 falseS=0.131 massX=1.839 outsideT=0.411 recall=1.277 precision=0.795 bad=6 lr=1.97e-04 peak_mb=13830 elapsed=808.7s
[A] epoch 16/150 loss=4.13636 rec=0.8106 bg=0.0068 sp=2.4776 ctr=0.2841 psf=-0.0981 ind=0.0001 flip=0.2386 amp=0.4167 val_score=2.03061 best=0.72127 centroid=1.000 falseS=0.170 massX=1.490 outsideT=0.471 recall=1.103 precision=0.727 bad=7 lr=1.96e-04 peak_mb=13830 elapsed=861.8s
[A] epoch 17/150 loss=4.09404 rec=0.7914 bg=0.0079 sp=2.4504 ctr=0.2736 psf=-0.0980 ind=0.0001 flip=0.2480 amp=0.4206 val_score=1.95988 best=0.72127 centroid=1.000 falseS=0.160 massX=1.459 outsideT=0.438 recall=1.038 precision=0.742 bad=8 lr=1.95e-04 peak_mb=13830 elapsed=915.4s
[A] epoch 18/150 loss=4.07552 rec=0.7866 bg=0.0079 sp=2.4475 ctr=0.2708 psf=-0.0979 ind=0.0001 flip=0.2531 amp=0.4073 val_score=2.09180 best=0.72127 centroid=1.000 falseS=0.244 massX=1.715 outsideT=0.804 recall=1.025 precision=0.619 bad=9 lr=1.95e-04 peak_mb=13830 elapsed=968.4s
[A] epoch 19/150 loss=4.52597 rec=0.9949 bg=0.0099 sp=2.6881 ctr=0.2796 psf=-0.0983 ind=0.0002 flip=0.2507 amp=0.4010 val_score=2.24545 best=0.72127 centroid=1.000 falseS=0.290 massX=1.853 outsideT=1.011 recall=1.063 precision=0.571 bad=10 lr=1.94e-04 peak_mb=13830 elapsed=1022.0s
[A] epoch 20/150 loss=4.56609 rec=1.0009 bg=0.0095 sp=2.6939 ctr=0.3146 psf=-0.0982 ind=0.0002 flip=0.2469 amp=0.3982 val_score=2.42539 best=0.72127 centroid=1.000 falseS=0.358 massX=3.159 outsideT=1.970 recall=1.567 precision=0.512 bad=11 lr=1.93e-04 peak_mb=13830 elapsed=1075.7s
[A] epoch 21/150 loss=4.35367 rec=0.9957 bg=0.0088 sp=2.5453 ctr=0.2482 psf=-0.0978 ind=0.0002 flip=0.2537 amp=0.3996 val_score=2.43955 best=0.72127 centroid=1.000 falseS=0.204 massX=1.082 outsideT=0.624 recall=0.743 precision=0.559 bad=12 lr=1.93e-04 peak_mb=13830 elapsed=1130.2s
[A] epoch 22/150 loss=4.20350 rec=0.8481 bg=0.0078 sp=2.4604 ctr=0.3042 psf=-0.0976 ind=0.0001 flip=0.2640 amp=0.4164 val_score=2.42443 best=0.72127 centroid=1.000 falseS=0.198 massX=1.649 outsideT=0.864 recall=1.194 precision=0.609 bad=13 lr=1.92e-04 peak_mb=13830 elapsed=1183.9s
[A] epoch 23/150 loss=4.38148 rec=1.0431 bg=0.0090 sp=2.5540 ctr=0.2498 psf=-0.0979 ind=0.0002 flip=0.2403 amp=0.3829 val_score=2.66703 best=0.72127 centroid=1.000 falseS=0.219 massX=1.030 outsideT=0.846 recall=0.719 precision=0.499 bad=14 lr=1.91e-04 peak_mb=13830 elapsed=1237.7s
