[A] device=cuda seed=42 params=411,357 train=720 val=80
[A] epoch 1/150 loss=19.31057 rec=4.1601 bg=0.4290 sp=9.7904 ctr=4.4351 psf=-0.1000 ind=0.0117 flip=0.0326 amp=0.5517 val_score=2.91260 best=2.91260 centroid=1.000 falseS=0.986 massX=326.037 outsideT=335.404 recall=3.203 precision=0.012 bad=0 lr=7.20e-05 peak_mb=13830 elapsed=55.7s
[A] epoch 2/150 loss=14.01269 rec=4.1531 bg=0.3420 sp=7.5974 ctr=1.5150 psf=-0.1000 ind=0.0093 flip=0.0355 amp=0.4605 val_score=2.27086 best=2.27086 centroid=1.000 falseS=0.992 massX=260.305 outsideT=263.640 recall=1.894 precision=0.009 bad=0 lr=1.44e-04 peak_mb=13830 elapsed=110.3s
[A] epoch 3/150 loss=12.30722 rec=3.8050 bg=0.3005 sp=6.9624 ctr=0.8678 psf=-0.1000 ind=0.0057 flip=0.0553 amp=0.4106 val_score=2.09526 best=2.09526 centroid=1.000 falseS=0.983 massX=121.603 outsideT=119.050 recall=1.825 precision=0.017 bad=0 lr=2.00e-04 peak_mb=13830 elapsed=165.3s
[A] epoch 4/150 loss=10.11875 rec=2.9699 bg=0.2796 sp=5.7669 ctr=0.6956 psf=-0.0999 ind=0.0018 flip=0.1003 amp=0.4046 val_score=2.19336 best=2.09526 centroid=1.000 falseS=0.903 massX=23.835 outsideT=22.094 recall=1.911 precision=0.089 bad=1 lr=2.00e-04 peak_mb=13830 elapsed=219.3s
[A] epoch 5/150 loss=7.89302 rec=2.0665 bg=0.2733 sp=4.3280 ctr=0.7613 psf=-0.0998 ind=0.0003 flip=0.1593 amp=0.4041 val_score=1.92083 best=1.92083 centroid=1.000 falseS=0.670 massX=6.959 outsideT=4.651 recall=1.866 precision=0.306 bad=0 lr=2.00e-04 peak_mb=13830 elapsed=273.6s
[A] epoch 6/150 loss=6.35903 rec=1.3118 bg=0.2662 sp=3.5501 ctr=0.6654 psf=-0.0998 ind=0.0001 flip=0.2402 amp=0.4250 val_score=1.51959 best=1.51959 centroid=1.000 falseS=0.484 massX=2.167 outsideT=1.074 recall=0.847 precision=0.481 bad=0 lr=2.00e-04 peak_mb=13830 elapsed=328.2s
[A] epoch 7/150 loss=5.42337 rec=0.9880 bg=0.2578 sp=3.0730 ctr=0.4979 psf=-0.0998 ind=0.0001 flip=0.2693 amp=0.4370 val_score=1.74233 best=1.51959 centroid=1.000 falseS=0.406 massX=1.867 outsideT=0.803 recall=0.939 precision=0.529 bad=1 lr=2.00e-04 peak_mb=13830 elapsed=382.9s
[A] epoch 8/150 loss=5.11757 rec=0.9209 bg=0.2556 sp=2.8951 ctr=0.4473 psf=-0.0998 ind=0.0000 flip=0.2504 amp=0.4480 val_score=1.94431 best=1.51959 centroid=1.000 falseS=0.256 massX=1.633 outsideT=0.661 recall=1.147 precision=0.644 bad=2 lr=1.99e-04 peak_mb=13830 elapsed=437.9s
[A] epoch 9/150 loss=4.99280 rec=0.9345 bg=0.2737 sp=2.7868 ctr=0.4000 psf=-0.0998 ind=0.0000 flip=0.2607 amp=0.4369 val_score=1.81488 best=1.51959 centroid=1.000 falseS=0.296 massX=1.163 outsideT=0.512 recall=0.671 precision=0.560 bad=3 lr=1.99e-04 peak_mb=13830 elapsed=492.9s
[A] epoch 10/150 loss=4.83916 rec=0.8857 bg=0.2901 sp=2.6895 ctr=0.3493 psf=-0.0998 ind=0.0000 flip=0.2801 amp=0.4443 val_score=1.59923 best=1.51959 centroid=1.000 falseS=0.256 massX=1.950 outsideT=0.791 recall=1.293 precision=0.618 bad=4 lr=1.99e-04 peak_mb=13830 elapsed=547.8s
[A] epoch 11/150 loss=4.74820 rec=0.9187 bg=0.2700 sp=2.6812 ctr=0.2726 psf=-0.0997 ind=0.0000 flip=0.2559 amp=0.4495 val_score=1.42607 best=1.42607 centroid=1.000 falseS=0.162 massX=2.430 outsideT=0.700 recall=1.601 precision=0.739 bad=0 lr=1.98e-04 peak_mb=13830 elapsed=602.4s
[A] epoch 12/150 loss=4.56941 rec=0.8602 bg=0.2679 sp=2.6066 ctr=0.2547 psf=-0.0997 ind=0.0000 flip=0.2433 amp=0.4363 val_score=1.50054 best=1.42607 centroid=1.000 falseS=0.280 massX=1.594 outsideT=0.647 recall=0.943 precision=0.621 bad=1 lr=1.98e-04 peak_mb=13830 elapsed=657.4s
[A] epoch 13/150 loss=4.51629 rec=0.8621 bg=0.2649 sp=2.5438 ctr=0.2716 psf=-0.0997 ind=0.0000 flip=0.2425 amp=0.4310 val_score=1.35995 best=1.35995 centroid=1.000 falseS=0.171 massX=1.279 outsideT=0.437 recall=1.000 precision=0.710 bad=0 lr=1.98e-04 peak_mb=13830 elapsed=711.8s
[A] epoch 14/150 loss=4.33435 rec=0.7734 bg=0.2595 sp=2.4964 ctr=0.2148 psf=-0.0997 ind=0.0000 flip=0.2390 amp=0.4510 val_score=1.28997 best=1.28997 centroid=1.000 falseS=0.133 massX=1.716 outsideT=0.419 recall=1.255 precision=0.785 bad=0 lr=1.97e-04 peak_mb=13830 elapsed=766.3s
[A] epoch 15/150 loss=4.22144 rec=0.7631 bg=0.2642 sp=2.4212 ctr=0.2037 psf=-0.0996 ind=0.0000 flip=0.2398 amp=0.4291 val_score=1.52898 best=1.28997 centroid=1.000 falseS=0.153 massX=1.097 outsideT=0.352 recall=0.842 precision=0.708 bad=1 lr=1.97e-04 peak_mb=13830 elapsed=820.9s
[A] epoch 16/150 loss=4.09638 rec=0.7333 bg=0.2508 sp=2.3966 ctr=0.1479 psf=-0.0995 ind=0.0000 flip=0.2384 amp=0.4288 val_score=1.50134 best=1.28997 centroid=1.000 falseS=0.112 massX=1.546 outsideT=0.364 recall=1.388 precision=0.795 bad=2 lr=1.96e-04 peak_mb=13830 elapsed=875.6s
